state,city,station,last_update,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",2024-04-14 11:00:00,NH3,2.0,4.0,4.0
Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",2024-04-14 11:00:00,SO2,9.0,14.0,12.0
Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",2024-04-14 11:00:00,PM2.5,42.0,246.0,74.0
Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",2024-04-14 11:00:00,PM10,46.0,156.0,74.0
Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",2024-04-14 11:00:00,SO2,11.0,12.0,11.0
Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",2024-04-14 11:00:00,OZONE,20.0,41.0,29.0
Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",2024-04-14 11:00:00,CO,43.0,139.0,53.0
Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",2024-04-14 11:00:00,PM2.5,36.0,125.0,81.0
Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",2024-04-14 11:00:00,CO,38.0,40.0,38.0
Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",2024-04-14 11:00:00,OZONE,5.0,72.0,21.0
Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",2024-04-14 11:00:00,SO2,6.0,18.0,12.0
Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",2024-04-14 11:00:00,OZONE,5.0,21.0,7.0
Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",2024-04-14 11:00:00,PM2.5,57.0,153.0,83.0
Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",2024-04-14 11:00:00,PM10,73.0,203.0,114.0
Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",2024-04-14 11:00:00,CO,16.0,103.0,41.0
Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",2024-04-14 11:00:00,NO2,3.0,3.0,3.0
Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",2024-04-14 11:00:00,CO,14.0,29.0,16.0
Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",2024-04-14 11:00:00,PM2.5,47.0,500.0,318.0
Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",2024-04-14 11:00:00,SO2,7.0,8.0,7.0
Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",2024-04-14 11:00:00,OZONE,2.0,23.0,7.0
Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",2024-04-14 11:00:00,CO,26.0,92.0,57.0
Assam,Nagaon,"Christianpatty, Nagaon - PCBA",2024-04-14 11:00:00,SO2,3.0,37.0,12.0
Assam,Nagaon,"Christianpatty, Nagaon - PCBA",2024-04-14 11:00:00,CO,30.0,81.0,47.0
Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",2024-04-14 11:00:00,PM2.5,98.0,356.0,217.0
Assam,Silchar,"Tarapur, Silchar - PCBA",2024-04-14 11:00:00,NO2,13.0,13.0,13.0
Assam,Silchar,"Tarapur, Silchar - PCBA",2024-04-14 11:00:00,OZONE,1.0,9.0,2.0
Assam,Sivasagar,"Girls College, Sivasagar - PCBA",2024-04-14 11:00:00,PM2.5,37.0,62.0,45.0
Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",2024-04-14 11:00:00,PM10,62.0,410.0,130.0
Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",2024-04-14 11:00:00,NO2,6.0,9.0,7.0
Bihar,Arrah,"New DM Office, Arrah - BSPCB",2024-04-14 11:00:00,SO2,16.0,22.0,19.0
Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",2024-04-14 11:00:00,PM10,46.0,155.0,92.0
Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",2024-04-14 11:00:00,SO2,4.0,9.0,6.0
Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",2024-04-14 11:00:00,PM10,54.34965034965035,182.78088578088577,96.54079254079254
Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",2024-04-14 11:00:00,NH3,4.654731457800511,8.966751918158568,6.207161125319693
Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",2024-04-14 11:00:00,OZONE,15.997782705099779,76.72949002217295,29.88248337028825
